gene_id	family
Bradi2g58020	ARR-B
Bradi2g58030	ABI3-VP1
Bradi2g58152	TAZ
Bradi2g58250	C2H2
Bradi2g58317	TRAF
Bradi2g58390	ABI3-VP1
Bradi2g58503	MADS
Bradi2g58720	C2H2
Bradi2g58770	C3H
Bradi2g59110	SBP
Bradi2g59118	MADS
Bradi2g59137	CAMTA
Bradi2g59190	MADS
Bradi2g59240	FLO/LFY
Bradi2g59430	SET
Bradi2g59480	ARF
Bradi2g59937	Homeobox
Bradi2g60020	C2H2
Bradi2g60080	SET
Bradi2g60331	AP2/ERF-ERF
Bradi2g60340	AP2/ERF-ERF
Bradi2g60554	ABI3-VP1
Bradi2g60620	NAC
Bradi2g60710	TRAF
Bradi2g60750	GRAS
Bradi2g60850	SNF2
Bradi2g60970	bHLH
Bradi2g61050	bHLH
Bradi2g61120	SHI/STY (SRS)
Bradi2g61631	FAR1-like
Bradi2g61760	NLP
Bradi2g62067	G2-like
Bradi2g62131	WRKY
Bradi2g62515	MADS
Bradi2g62660	C2C2-GATA
Bradi3g00300	bZIP
Bradi3g00697	MYB / MYB-related
Bradi3g00721	MADS
Bradi3g00773	mTERF
Bradi3g00780	mTERF
Bradi3g00830	mTERF
Bradi3g00840	mTERF
Bradi3g01055	MYB / MYB-related
Bradi3g01297	SNF2
Bradi3g01340	MYB / MYB-related
Bradi3g01377	MYB / MYB-related
Bradi3g01487	C2H2
Bradi3g01540	bHLH
Bradi3g01901	bHLH
Bradi3g01910	bHLH
Bradi3g01960	CSD
Bradi3g02220	PHD
Bradi3g02427	TRAF
Bradi3g02730	bZIP
Bradi3g02780	Alfin-like
Bradi3g02784	Alfin-like
Bradi3g02800	BZR
Bradi3g02980	bZIP
Bradi3g03170	NLP
Bradi3g03330	PHD
Bradi3g03407	ARF
Bradi3g03510	SBP
Bradi3g03747	Homeobox
Bradi3g03800	C2C2-Dof
Bradi3g03970	Homeobox
Bradi3g04375	AP2/ERF-AP2
Bradi3g04381	AP2/ERF-AP2
Bradi3g04410	AP2/ERF-ERF
Bradi3g04450	WHIRLY
Bradi3g04517	mTERF
Bradi3g04650	C3H
Bradi3g04880	MADS
Bradi3g04920	ARF
Bradi3g05260	MADS
Bradi3g05380	PLATZ
Bradi3g05510	SBP
Bradi3g05577	bZIP
Bradi3g05720	SBP
Bradi3g05800	C2C2-CO-like
Bradi3g05930	TUB
Bradi3g06020	GNAT
Bradi3g06070	WRKY
Bradi3g06120	ARR-B
Bradi3g06130	C2H2
Bradi3g06170	Homeobox
Bradi3g06190	PLATZ
Bradi3g06562	AP2/ERF-ERF
Bradi3g06670	bZIP
Bradi3g06717	DDT
Bradi3g06724	TRAF
Bradi3g06810	PLATZ
Bradi3g06940	C3H
Bradi3g07031	bZIP
Bradi3g07160	GRAS
Bradi3g07450	AP2/ERF-ERF
Bradi3g07480	PLATZ
Bradi3g07540	bZIP
Bradi3g07988	MYB / MYB-related
Bradi3g08240	C2C2-GATA
Bradi3g08280	bHLH
Bradi3g08667	Aux/IAA
Bradi3g08790	AP2/ERF-ERF
Bradi3g08870	HSF
Bradi3g08967	BZR
Bradi3g09160	G2-like
Bradi3g09340	bZIP
Bradi3g09570	C3H
Bradi3g09670	bHLH
Bradi3g09690	HMG
Bradi3g09810	WRKY
Bradi3g10075	MYB / MYB-related
Bradi3g10190	CPP
Bradi3g10414	NAC
Bradi3g10416	FAR1-like
Bradi3g10437	FAR1-like
Bradi3g10450	FAR1-like
Bradi3g10730	G2-like
Bradi3g10820	ZIM
Bradi3g11035	MYB / MYB-related
Bradi3g11520	bHLH
Bradi3g11810	FAR1-like
Bradi3g12470	NAC
Bradi3g12490	C2H2
Bradi3g12550	LBD
Bradi3g12565	AP2/ERF-ERF
Bradi3g12566	AP2/ERF-ERF
Bradi3g12567	AP2/ERF-AP2
Bradi3g12680	AP2/ERF-ERF
Bradi3g12702	TRAF
Bradi3g12710	SET
Bradi3g12910	ABI3-VP1
Bradi3g12920	C2C2-YABBY
Bradi3g12980	GNAT
Bradi3g13013	OVATE
Bradi3g13080	TUB
Bradi3g13110	TRAF
Bradi3g13117	NAC
Bradi3g13210	PHD
Bradi3g13300	bHLH
Bradi3g13570	MADS
Bradi3g13630	NAC
Bradi3g13727	NAC
Bradi3g14233	TRAF
Bradi3g14236	TRAF
Bradi3g14240	SHI/STY (SRS)
Bradi3g14290	LSD
Bradi3g14480	C3H
Bradi3g14500	Homeobox
Bradi3g14590	bHLH
Bradi3g14830	MYB / MYB-related
Bradi3g14870	SWI/SNF-SWI3
Bradi3g15084	AP2/ERF-ERF
Bradi3g15327	Homeobox
Bradi3g15380	SNF2
Bradi3g15410	SET
Bradi3g15590	bZIP
Bradi3g15880	AP2/ERF-AP2
Bradi3g16121	FAR1-like
Bradi3g16340	G2-like
Bradi3g16377	C3H
Bradi3g16400	C2C2-YABBY
Bradi3g16420	MYB / MYB-related
Bradi3g16480	NAC
Bradi3g16500	ABI3-VP1
Bradi3g16515	MYB / MYB-related
Bradi3g17165	MYB / MYB-related
Bradi3g17170	G2-like
Bradi3g17287	NAC
Bradi3g17539	Trihelix
Bradi3g17710	SET
Bradi3g17987	CCAAT-HAP3
Bradi3g18070	AP2/ERF-AP2
Bradi3g18073	AP2/ERF-ERF
Bradi3g18232	TRAF
Bradi3g18350	TRAF
Bradi3g18580	WRKY
Bradi3g18800	Homeobox
Bradi3g18810	ABI3-VP1
Bradi3g18906	SNF2
Bradi3g18940	SET
Bradi3g18971	C2H2
Bradi3g18977	MYB / MYB-related
Bradi3g19010	C2C2-CO-like
Bradi3g19180	GNAT
Bradi3g19640	WRKY
Bradi3g19710	C2H2
Bradi3g19890	SNF2
Bradi3g19927	Homeobox
Bradi3g20603	FAR1-like
Bradi3g20610	GeBP
Bradi3g21380	BBR/BPC
Bradi3g21390	BBR/BPC
Bradi3g21460	bHLH
Bradi3g21480	bZIP
Bradi3g21690	MBF1
Bradi3g22040	bZIP
Bradi3g22290	G2-like
Bradi3g22297	G2-like
Bradi3g22510	LBD
Bradi3g22770	MED26
Bradi3g23180	ZIM
Bradi3g23190	ZIM
Bradi3g23220	ZIM
Bradi3g23365	Homeobox
Bradi3g23800	CAMTA
Bradi3g24000	AP2/ERF-ERF
Bradi3g25670	C2C2-Dof
Bradi3g26665	NAC
Bradi3g26690	Homeobox
Bradi3g26800	GNAT
Bradi3g26920	HSF
Bradi3g27170	OVATE
Bradi3g27520	E2F-DP
Bradi3g27663	MYB / MYB-related
Bradi3g27690	AP2/ERF-ERF
Bradi3g27760	ARID
Bradi3g27775	ARID
Bradi3g27970	SNF2
Bradi3g28000	OVATE
Bradi3g28003	C2C2-GATA
Bradi3g28830	MYB / MYB-related
Bradi3g28850	C2H2
Bradi3g28950	ARF
Bradi3g28970	bZIP
Bradi3g29940	C2C2-Dof
Bradi3g30033	MYB / MYB-related
Bradi3g30200	LIM
Bradi3g30360	SET
Bradi3g30410	C2C2-YABBY
Bradi3g30457	MYB / MYB-related
Bradi3g30620	C3H
Bradi3g31600	AP2/ERF-ERF
Bradi3g31890	bZIP
Bradi3g31940	OVATE
Bradi3g32090	MADS
Bradi3g32140	ABI3-VP1
Bradi3g32242	G2-like
Bradi3g32890	GRAS
Bradi3g33100	C2H2
Bradi3g33170	bHLH
Bradi3g33200	C2C2-GATA
Bradi3g33355	AP2/ERF-AP2
Bradi3g33410	bZIP
Bradi3g33620	MED31
Bradi3g33630	GeBP
Bradi3g33670	AP2/ERF-ERF
Bradi3g33680	NAC
Bradi3g34134	C3H
Bradi3g34160	PLATZ
Bradi3g34200	bHLH
Bradi3g34240	JUMONJI
Bradi3g34410	Homeobox
Bradi3g34670	CPP
Bradi3g34850	WRKY
Bradi3g34930	CCAAT-HAP3
Bradi3g35280	LBD
Bradi3g35330	SET
Bradi3g35441	OVATE
Bradi3g35450	OVATE
Bradi3g35560	AP2/ERF-AP2
Bradi3g35850	Homeobox
Bradi3g36370	MYB / MYB-related
Bradi3g36610	bHLH
Bradi3g36660	MYB / MYB-related
Bradi3g36670	NAC
Bradi3g36710	G2-like
Bradi3g36740	MYB / MYB-related
Bradi3g36790	SET
Bradi3g36867	C2H2
Bradi3g37040	ZF-HD
Bradi3g37043	ZF-HD
Bradi3g37047	MYB / MYB-related
Bradi3g37067	NAC
Bradi3g37360	MYB / MYB-related
Bradi3g37385	ARID
Bradi3g37397	ARID
Bradi3g37544	AP2/ERF-ERF
Bradi3g37700	NLP
Bradi3g37810	bZIP
Bradi3g37890	C2H2
Bradi3g37930	GeBP
Bradi3g38140	AP2/ERF-ERF
Bradi3g38179	FAR1-like
Bradi3g38200	bZIP
Bradi3g38250	bHLH
Bradi3g38360	bHLH
Bradi3g38430	Homeobox
Bradi3g38510	bHLH
Bradi3g38600	Homeobox
Bradi3g38682	Trihelix
Bradi3g38747	C2H2
Bradi3g38807	MYB / MYB-related
Bradi3g38840	bZIP
Bradi3g38890	bHLH
Bradi3g38970	bHLH
Bradi3g38980	C2C2-Dof
Bradi3g39177	MADS
Bradi3g39210	TRAF
Bradi3g39457	JUMONJI
Bradi3g39575	MADS
Bradi3g39760	SWI/SNF-BAF60
Bradi3g39927	bHLH
Bradi3g40030	SBP
Bradi3g40060	MYB / MYB-related
Bradi3g40085	NAC
Bradi3g40240	SBP
Bradi3g40343	AP2/ERF-ERF
Bradi3g40392	MYB / MYB-related
Bradi3g40580	mTERF
Bradi3g40651	LBD
Bradi3g40693	TRAF
Bradi3g40715	TRAF
Bradi3g40736	TRAF
Bradi3g40785	TRAF
Bradi3g40860	bHLH
Bradi3g41250	SBP
Bradi3g41260	MADS
Bradi3g41297	MADS
Bradi3g41470	NAC
Bradi3g41500	C2C2-CO-like
Bradi3g41510	bHLH
Bradi3g41630	RBR
Bradi3g41930	bHLH
Bradi3g41940	bHLH
Bradi3g41950	bHLH
Bradi3g41980	bZIP
Bradi3g42130	HSF
Bradi3g42197	SHI/STY (SRS)
Bradi3g42350	MYB / MYB-related
Bradi3g42430	MYB / MYB-related
Bradi3g42627	AP2/ERF-ERF
Bradi3g42633	C2H2
Bradi3g43000	PLATZ
Bradi3g43310	ARID
Bradi3g43710	HSF
Bradi3g43900	C2H2
Bradi3g44470	AP2/ERF-ERF
Bradi3g44520	C2H2
Bradi3g44700	HSF
Bradi3g45130	E2F-DP
Bradi3g45230	MYB / MYB-related
Bradi3g45300	Trihelix
Bradi3g45365	bHLH
Bradi3g45450	MYB / MYB-related
Bradi3g45470	FAR1-like
Bradi3g45590	C2H2
Bradi3g45720	p15 (PC4,Sub1)
Bradi3g45850	DDT
Bradi3g45997	AP2/ERF-AP2
Bradi3g46110	Alfin-like
Bradi3g46200	bHLH
Bradi3g46210	Trihelix
Bradi3g46320	Homeobox
Bradi3g46570	C2H2
Bradi3g46680	EIL
Bradi3g46690	EIL
Bradi3g46830	mTERF
Bradi3g46900	NAC
Bradi3g46910	MYB / MYB-related
Bradi3g46920	bZIP
Bradi3g47627	NAC
Bradi3g47784	TAZ
Bradi3g47847	ABI3-VP1
Bradi3g48010	mTERF
Bradi3g48310	FAR1-like
Bradi3g48447	C2C2-CO-like
Bradi3g48497	SET
Bradi3g48697	AP2/ERF-AP2
Bradi3g48886	MYB / MYB-related
Bradi3g48980	SET
Bradi3g49180	MYB / MYB-related
Bradi3g49190	MYB / MYB-related
Bradi3g49320	ARF
Bradi3g49660	TCP
Bradi3g49810	AP2/ERF-ERF
Bradi3g49950	LIM
Bradi3g49970	MYB / MYB-related
Bradi3g49987	MYB / MYB-related
Bradi3g50050	C2C2-YABBY
Bradi3g50067	NAC
Bradi3g50166	PHD
Bradi3g50214	MYB / MYB-related
Bradi3g50220	bZIP
Bradi3g50300	SNF2
Bradi3g50360	WRKY
Bradi3g50490	AP2/ERF-ERF
Bradi3g50508	AP2/ERF-ERF
Bradi3g50620	AP2/ERF-ERF
Bradi3g50625	AP2/ERF-ERF
Bradi3g50630	AP2/ERF-ERF
Bradi3g50780	C2H2
Bradi3g50790	C2H2
Bradi3g50830	PLATZ
Bradi3g51090	C2H2
Bradi3g51140	HMG
Bradi3g51320	FAR1-like
Bradi3g51408	G2-like
Bradi3g51510	C2C2-Dof
Bradi3g51540	Homeobox
Bradi3g51610	AP2/ERF-AP2
Bradi3g51630	AP2/ERF-AP2
Bradi3g51650	C3H
Bradi3g51685	GRF
Bradi3g51707	OVATE
Bradi3g51757	MYB / MYB-related
Bradi3g51960	MYB / MYB-related
Bradi3g52150	bHLH
Bradi3g52170	PLATZ
Bradi3g52240	GNAT
Bradi3g52260	MYB / MYB-related
Bradi3g52320	G2-like
Bradi3g52420	WRKY
Bradi3g52547	GRF
Bradi3g52767	TUB
Bradi3g52790	bHLH
Bradi3g52837	Homeobox
Bradi3g52880	C2C2-Dof
Bradi3g52951	SET
Bradi3g53450	GNAT
Bradi3g53502	C3H
Bradi3g53567	PHD
Bradi3g53880	C3H
Bradi3g54070	bHLH
Bradi3g54120	ARR-B
Bradi3g54160	AP2/ERF-AP2
Bradi3g54290	DBP
Bradi3g54610	Aux/IAA
Bradi3g54640	bHLH
Bradi3g54710	GNAT
Bradi3g54720	C2C2-GATA
Bradi3g54817	NAC
Bradi3g55060	SHI/STY (SRS)
Bradi3g55120	G2-like
Bradi3g55410	Aux/IAA
Bradi3g55680	LBD
Bradi3g55760	C2H2
Bradi3g56080	NAC
Bradi3g56180	Homeobox
Bradi3g56290	bZIP
Bradi3g56340	bHLH
Bradi3g56380	C2C2-Dof
Bradi3g56450	SET
Bradi3g56490	C2C2-CO-like
Bradi3g56801	AP2/ERF-ERF
Bradi3g56840	SET
Bradi3g56917	MYB / MYB-related
Bradi3g56940	ZIM
Bradi3g57000	C2C2-CO-like
Bradi3g57017	MADS
Bradi3g57267	GRF
Bradi3g57300	MYB / MYB-related
Bradi3g57320	CCAAT-HAP2
Bradi3g57360	AP2/ERF-AP2
Bradi3g57567	Homeobox
Bradi3g57580	GNAT
Bradi3g57640	GeBP
Bradi3g57710	WRKY
Bradi3g57800	GeBP
Bradi3g57862	AP2/ERF-ERF
Bradi3g58015	AP2/ERF-ERF
Bradi3g58092	SNF2
Bradi3g58360	bHLH
Bradi3g58720	SWI/SNF-SWI3
Bradi3g58770	MYB / MYB-related
Bradi3g58980	AP2/ERF-ERF
Bradi3g59141	mTERF
Bradi3g59147	mTERF
Bradi3g59167	mTERF
Bradi3g59290	bHLH
Bradi3g59300	AP2/ERF-AP2
Bradi3g59380	NAC
Bradi3g59420	NLP
Bradi3g59560	MED26
Bradi3g59577	MED26
Bradi3g59866	NAC
Bradi3g60018	AP2/ERF-ERF
Bradi3g60150	mTERF
Bradi3g60617	C3H
Bradi3g60870	bZIP
Bradi3g61024	GRAS
Bradi4g00325	TRAF
Bradi4g00380	ABI3-VP1
Bradi4g00740	Homeobox
Bradi4g00925	FAR1-like
Bradi4g01140	C2C2-GATA
Bradi4g01300	C2C2-YABBY
Bradi4g01547	TCP
Bradi4g01730	ARF
Bradi4g01770	MYB / MYB-related
Bradi4g01790	SET
Bradi4g01887	bZIP
Bradi4g01950	WRKY
Bradi4g02040	LSD
Bradi4g02060	NAC
Bradi4g02280	mTERF
Bradi4g02390	CPP
Bradi4g02410	CPP
Bradi4g02570	bZIP
Bradi4g02580	Aux/IAA
Bradi4g02600	Aux/IAA
Bradi4g02665	bHLH
Bradi4g02673	bHLH
Bradi4g02680	WRKY
Bradi4g02985	ABI3-VP1
Bradi4g02991	ABI3-VP1
Bradi4g02996	ABI3-VP1
Bradi4g03070	bHLH
Bradi4g03160	G2-like
Bradi4g03303	Homeobox
Bradi4g03340	C2H2
Bradi4g03371	AP2/ERF-ERF
Bradi4g03410	C2H2
Bradi4g03620	NAC
Bradi4g03867	GRAS
Bradi4g03970	MYB / MYB-related
Bradi4g04050	MYB / MYB-related
Bradi4g04627	MYB / MYB-related
Bradi4g04720	bZIP
Bradi4g05091	TRAF
Bradi4g06137	PHD
Bradi4g06290	C3H
Bradi4g06317	MYB / MYB-related
Bradi4g06510	LIM
Bradi4g06670	SWI/SNF-BAF60
Bradi4g06690	WRKY
Bradi4g06867	MADS
Bradi4g07110	MYB / MYB-related
Bradi4g07150	mTERF
Bradi4g07470	ARF
Bradi4g07527	NAC
Bradi4g07717	PHD
Bradi4g08050	C3H
Bradi4g08220	MYB / MYB-related
Bradi4g08510	PHD
Bradi4g09138	GRAS
Bradi4g09142	GRAS
Bradi4g09144	GRAS
Bradi4g09146	GRAS
Bradi4g09148	GRAS
Bradi4g09155	GRAS
Bradi4g09156	GRAS
Bradi4g09157	GRAS
Bradi4g09170	GRAS
Bradi4g09175	GRAS
Bradi4g09180	GRAS
Bradi4g09190	GRAS
Bradi4g09232	GRAS
Bradi4g09235	GRAS
Bradi4g09237	GRAS
Bradi4g09238	GRAS
Bradi4g09239	GRAS
Bradi4g09251	GRAS
Bradi4g09410	C2H2
Bradi4g09552	FAR1-like
Bradi4g09886	WRKY
Bradi4g09900	MYB / MYB-related
Bradi4g09970	SNF2
Bradi4g11097	MADS
Bradi4g11116	E2F-DP
Bradi4g11630	FAR1-like
Bradi4g12065	NAC
Bradi4g12615	bHLH
Bradi4g12889	TRAF
Bradi4g12899	TRAF
Bradi4g12901	TRAF
Bradi4g13211	FAR1-like
Bradi4g13409	FAR1-like
Bradi4g13562	NAC
Bradi4g13584	TRAF
Bradi4g13586	NAC
Bradi4g13588	TRAF
Bradi4g13792	TRAF
Bradi4g13857	TRAF
Bradi4g13867	TRAF
Bradi4g14881	LBD
Bradi4g15720	C2C2-GATA
Bradi4g16290	MYB / MYB-related
Bradi4g16463	ARR-B
Bradi4g16740	LBD
Bradi4g16750	LBD
Bradi4g16840	CCAAT-HAP5
Bradi4g17210	RBR
Bradi4g17410	ARF
Bradi4g17441	FAR1-like
Bradi4g17460	bHLH
Bradi4g18390	GRAS
Bradi4g18830	C2H2
Bradi4g18891	SBP
Bradi4g19010	C3H
Bradi4g19060	WRKY
Bradi4g20547	mTERF
Bradi4g20720	NLP
Bradi4g21040	Alfin-like
Bradi4g21160	Homeobox
Bradi4g21230	FAR1-like
Bradi4g21265	AP2/ERF-ERF
Bradi4g21800	PHD
Bradi4g22050	Aux/IAA
Bradi4g22060	Aux/IAA
Bradi4g22195	NAC
Bradi4g22216	NAC
Bradi4g22525	FAR1-like
Bradi4g22637	MYB / MYB-related
Bradi4g22681	NAC
Bradi4g22730	MYB / MYB-related
Bradi4g23197	mTERF
Bradi4g23217	mTERF
Bradi4g23227	mTERF
Bradi4g23270	ABI3-VP1
Bradi4g23550	C2C2-GATA
Bradi4g23625	FAR1-like
Bradi4g23640	NAC
Bradi4g23716	TRAF
Bradi4g23760	TRAF
Bradi4g23767	TRAF
Bradi4g23811	TRAF
Bradi4g23967	MYB / MYB-related
Bradi4g24046	NAC
Bradi4g24060	NAC
Bradi4g24100	NAC
Bradi4g24203	ABI3-VP1
Bradi4g24666	FAR1-like
Bradi4g24750	Trihelix
Bradi4g24798	MYB / MYB-related
Bradi4g24867	GRAS
Bradi4g24937	bZIP
Bradi4g25022	Homeobox
Bradi4g25170	ABI3-VP1
Bradi4g25342	bZIP
Bradi4g25540	TRAF
Bradi4g25717	WRKY
Bradi4g25940	SET
Bradi4g26093	ZF-HD
Bradi4g26170	ZF-HD
Bradi4g26180	MYB / MYB-related
Bradi4g26275	NAC
Bradi4g26600	NAC
Bradi4g26605	NAC
Bradi4g26627	DDT
Bradi4g26670	bZIP
Bradi4g26730	PHD
Bradi4g26802	G2-like
Bradi4g27100	bZIP
Bradi4g27170	C2H2
Bradi4g27620	G2-like
Bradi4g27720	bZIP
Bradi4g27770	C2H2
Bradi4g27850	AP2/ERF-ERF
Bradi4g28280	WRKY
Bradi4g28305	TRAF
Bradi4g28460	SET
Bradi4g28490	GNAT
Bradi4g28585	OVATE
Bradi4g28690	SWI/SNF-BAF60
Bradi4g28763	SWI/SNF-BAF60
Bradi4g28792	SET
Bradi4g28877	C3H
Bradi4g28883	LBD
Bradi4g29010	AP2/ERF-AP2
Bradi4g29370	bHLH
Bradi4g29380	Homeobox
Bradi4g29560	PHD
Bradi4g29796	MYB / MYB-related
Bradi4g29830	ZIM
Bradi4g29936	FAR1-like
Bradi4g29980	TCP
Bradi4g29990	bHLH
Bradi4g30040	SET
Bradi4g30177	NAC
Bradi4g30220	MYB / MYB-related
Bradi4g30230	ZF-HD
Bradi4g30240	ZF-HD
Bradi4g30350	bHLH
Bradi4g30360	WRKY
Bradi4g30371	WRKY
Bradi4g30520	C2H2
Bradi4g30617	AP2/ERF-AP2
Bradi4g30885	MYB / MYB-related
Bradi4g30920	C2H2
Bradi4g31040	AP2/ERF-AP2
Bradi4g31240	ZIM
Bradi4g31690	Homeobox
Bradi4g31780	FAR1-like
Bradi4g31785	MADS
Bradi4g31840	GeBP
Bradi4g32050	HSF
Bradi4g32060	bHLH
Bradi4g32090	bZIP
Bradi4g32130	HSF
Bradi4g32470	bHLH
Bradi4g32580	ZF-HD
Bradi4g32650	bHLH
Bradi4g32737	Homeobox
Bradi4g32870	C2H2
Bradi4g32920	bZIP
Bradi4g32934	bHLH
Bradi4g33000	C2C2-Dof
Bradi4g33370	FAR1-like
Bradi4g33670	bHLH
Bradi4g33690	GNAT
Bradi4g33740	bZIP
Bradi4g33750	EIL
Bradi4g33770	SBP
Bradi4g33820	MYB / MYB-related
Bradi4g34022	NAC
Bradi4g34157	NAC
Bradi4g34350	bHLH
Bradi4g34550	FAR1-like
Bradi4g34667	SBP
Bradi4g34680	MADS
Bradi4g34800	NAC
Bradi4g34870	bHLH
Bradi4g35240	bZIP
Bradi4g35370	bZIP
Bradi4g35400	bHLH
Bradi4g35520	TCP
Bradi4g35570	AP2/ERF-AP2
Bradi4g35580	AP2/ERF-ERF
Bradi4g35590	AP2/ERF-ERF
Bradi4g35600	AP2/ERF-ERF
Bradi4g35610	AP2/ERF-ERF
Bradi4g35620	AP2/ERF-ERF
Bradi4g35630	AP2/ERF-ERF
Bradi4g35650	AP2/ERF-ERF
Bradi4g35655	AP2/ERF-ERF
Bradi4g35670	TCP
Bradi4g35760	Homeobox
Bradi4g35780	HSF
Bradi4g35910	Homeobox
Bradi4g35960	Aux/IAA
Bradi4g36030	SHI/STY (SRS)
Bradi4g36210	MYB / MYB-related
Bradi4g36233	FAR1-like
Bradi4g36460	MYB / MYB-related
Bradi4g36587	bZIP
Bradi4g36958	Rcd1-like
Bradi4g37147	NLP
Bradi4g37247	HMG
Bradi4g37318	NAC
Bradi4g37327	NAC
Bradi4g37540	C2H2
Bradi4g37730	Trihelix
Bradi4g37750	TRAF
Bradi4g37760	C2H2
Bradi4g37946	ABI3-VP1
Bradi4g38000	C2H2
Bradi4g38630	BZR
Bradi4g38720	bHLH
Bradi4g38941	AP2/ERF-ERF
Bradi4g38965	MYB / MYB-related
Bradi4g39130	C2H2
Bradi4g39415	MADS
Bradi4g39420	MADS
Bradi4g39630	bZIP
Bradi4g39766	NLP
Bradi4g40020	FAR1-like
Bradi4g40230	Alfin-like
Bradi4g40250	PHD
Bradi4g40350	MADS
Bradi4g40357	MADS
Bradi4g40476	SNF2
Bradi4g40880	NAC
Bradi4g40948	MADS
Bradi4g41200	NAC
Bradi4g41277	MYB / MYB-related
Bradi4g41430	TCP
Bradi4g41570	C2C2-GATA
Bradi4g41616	AP2/ERF-ERF
Bradi4g41760	MED26
Bradi4g41820	TUB
Bradi4g41830	Trihelix
Bradi4g41880	GRAS
Bradi4g41890	bZIP
Bradi4g41960	FAR1-like
Bradi4g42050	E2F-DP
Bradi4g42080	OVATE
Bradi4g42120	bZIP
Bradi4g42126	bZIP
Bradi4g42167	ABI3-VP1
Bradi4g42180	NAC
Bradi4g42433	TRAF
Bradi4g42970	GNAT
Bradi4g43010	NAC
Bradi4g43020	NAC
Bradi4g43150	TRAF
Bradi4g43200	GRAS
Bradi4g43220	FAR1-like
Bradi4g43322	bZIP
Bradi4g43330	NAC
Bradi4g43346	NAC
Bradi4g43680	GRAS
Bradi4g43717	SET
Bradi4g43877	AP2/ERF-AP2
Bradi4g43937	MYB / MYB-related
Bradi4g43960	ZF-HD
Bradi4g43995	NAC
Bradi4g44000	NAC
Bradi4g44290	GNAT
Bradi4g44342	WRKY
Bradi4g44350	WRKY
Bradi4g44360	WRKY
Bradi4g44850	LBD
Bradi4g45222	C2C2-Dof
Bradi4g45224	C2C2-Dof
Bradi4g45290	FAR1-like
Bradi4g45325	Homeobox
Bradi5g00478	GeBP
Bradi5g00500	SET
Bradi5g00530	C2H2
Bradi5g00630	ARID
Bradi5g00676	C2H2
Bradi5g00770	SNF2
Bradi5g01250	GeBP
Bradi5g01257	GeBP
Bradi5g01445	ABI3-VP1
Bradi5g01730	C3H
Bradi5g01872	C2H2
Bradi5g01900	bHLH
Bradi5g02880	TCP
Bradi5g03882	MYB / MYB-related
Bradi5g04817	WRKY
Bradi5g05110	bHLH
Bradi5g06620	bHLH
Bradi5g07300	MYB / MYB-related
Bradi5g07675	C2H2
Bradi5g07720	bHLH
Bradi5g07730	SWI/SNF-BAF60
Bradi5g07925	ABI3-VP1
Bradi5g08062	MADS
Bradi5g08161	FAR1-like
Bradi5g08167	CAMTA
Bradi5g08380	AP2/ERF-ERF
Bradi5g08471	AP2/ERF-ERF
Bradi5g08537	C2H2
Bradi5g08650	ZIM
Bradi5g08980	Trihelix
Bradi5g09140	S1Fa-like
Bradi5g09557	OVATE
Bradi5g09871	TRAF
Bradi5g10050	SET
Bradi5g10110	SET
Bradi5g10320	GRAS
Bradi5g10370	bZIP
Bradi5g10470	Homeobox
Bradi5g10640	NAC
Bradi5g10777	DDT
Bradi5g10950	ARF
Bradi5g11070	Trihelix
Bradi5g11130	Alfin-like
Bradi5g11180	C2H2
Bradi5g11247	NAC
Bradi5g11270	MADS
Bradi5g11295	AP2/ERF-AP2
Bradi5g11315	FAR1-like
Bradi5g11330	FAR1-like
Bradi5g11645	OVATE
Bradi5g12127	EIL
Bradi5g12160	BZR
Bradi5g12170	ARR-B
Bradi5g12338	GRAS
Bradi5g12417	MYB / MYB-related
Bradi5g12436	MADS
Bradi5g12730	GNAT
Bradi5g13053	C2H2
Bradi5g13090	FAR1-like
Bradi5g13300	NAC
Bradi5g13370	FAR1-like
Bradi5g13450	NAC
Bradi5g13663	TAZ
Bradi5g13790	GNAT
Bradi5g13816	NAC
Bradi5g13900	Trihelix
Bradi5g14050	FAR1-like
Bradi5g14130	FAR1-like
Bradi5g14497	bZIP
Bradi5g14600	C2C2-CO-like
Bradi5g14736	NAC
Bradi5g14950	NAC
Bradi5g14960	AP2/ERF-AP2
Bradi5g15246	MYB / MYB-related
Bradi5g15587	NAC
Bradi5g15760	MYB / MYB-related
Bradi5g15904	ARF
Bradi5g16270	TCP
Bradi5g16450	AP2/ERF-ERF
Bradi5g16666	LIM
Bradi5g16672	MYB / MYB-related
Bradi5g16707	MYB / MYB-related
Bradi5g16910	C2C2-YABBY
Bradi5g16917	NAC
Bradi5g17057	C2C2-GATA
Bradi5g17080	PHD
Bradi5g17150	MYB / MYB-related
Bradi5g17370	C2C2-GATA
Bradi5g17460	PHD
Bradi5g17480	AP2/ERF-ERF
Bradi5g17490	AP2/ERF-ERF
Bradi5g17570	Homeobox
Bradi5g17600	MYB / MYB-related
Bradi5g17610	AP2/ERF-ERF
Bradi5g17620	AP2/ERF-ERF
Bradi5g17630	AP2/ERF-ERF
Bradi5g17640	AP2/ERF-ERF
Bradi5g17722	SBP
Bradi5g17810	C2H2
Bradi5g18044	NAC
Bradi5g18210	SWI/SNF-SWI3
Bradi5g18430	NLP
Bradi5g18460	HMG
Bradi5g18590	G2-like
Bradi5g18640	C2C2-Dof
Bradi5g18680	HSF
Bradi5g18717	Homeobox
Bradi5g18850	AP2/ERF-ERF
