accession,title,description
PF07777.14,G-box binding protein MFMR,"This region is found to the N-terminus of the PF00170 transcription factor domain. It is between 150 and 200 amino acids in length. The N-terminal half is rather rich in proline residues and has been termed the PRD (proline rich domain) whereas the C-terminal half is more polar and has been called the MFMR (multifunctional mosaic region). It has been suggested that this family is composed of three sub-families called A, B and C classified according to motif composition. It has been suggested that some of these motifs may be involved in mediating protein-protein interactions. The MFMR region contains a nuclear localisation signal in bZIP opaque and GBF-2. The MFMR also contains a transregulatory activity in TAF-1. The MFMR in CPRF-2 contains cytoplasmic retention signals."
PF03000.17,NPH3 family,"Phototropism of Arabidopsis thaliana seedlings in response to a blue light source is initiated by nonphototropic hypocotyl 1 (NPH1), a light-activated serine-threonine protein kinase. Mutations in NPH3 disrupt early signaling occurring downstream of the NPH1 photoreceptor. The NPH3 gene encodes a NPH1-interacting protein. NPH3 is a member of a large protein family, apparently specific to higher plants, and may function as an adapter or scaffold protein to bring together the enzymatic components of a NPH1-activated phosphorelay."
PF07647.20,SAM domain (Sterile alpha motif),"Ponting CP; , Protein Sci 1995;4:1928-1930.: SAM: a novel motif in yeast sterile and Drosophila polyhomeotic proteins. PUBMED:8528090 EPMC:8528090"
PF04539.19,Sigma-70 region 3,"Region 3 forms a discrete compact three helical domain within the sigma-factor. Region is not normally involved in the recognition of promoter DNA, but as some specific bacterial promoters containing an extended -10 promoter element, residues within region 3 play an important role. Region 3 primarily is involved in binding the core RNA polymerase in the holoenzyme."
PF01698.19,Floricaula / Leafy protein SAM domain,"This family consists of various plant development proteins which are homologues of floricaula (FLO) and Leafy (LFY) proteins which are floral meristem identity proteins. Mutations in the sequences of these proteins affect flower and leaf development. LFY proteins have been shown to binds semi-palindromic 19-bp DNA elements through its highly conserved C-terminal DBD. In addition to its well-characterized DBD, LFY possesses a second conserved domain at its amino terminus (LFY-N). This entry represents the SAM domain found in N -terminal of LFY proteins in plants. Crystallographic structure determination of LFY-N shows that LFY-N is a Sterile Alpha Motif (SAM) domain that mediates LFY oligomerization. It allows LFY to bind to regions lacking high-affinity LFYbs (LFY-binding sites) and confers on LFY the ability to access closed chromatin regions. Experiments carried out in plants, revealed that altering the capacity of LFY to oligomerize compromised its floral function and drastically reduced its genome-wide DNA binding. SAM oligomerization has been suggested to have a profound effect on a TF binding landscape by promoting cooperative binding of LFY to DNA, as was proposed for other oligomeric TFs, and it gives LFY access to closed chromatin regions that are notably refractory to TF binding. It has also been suggested that the biochemical properties of the SAM domain are evolutionary conserved in all plant species."
PF00514.26,Armadillo/beta-catenin-like repeat,Approx. 40 amino acid repeat. Tandem repeats form super-helix of helices that is proposed to mediate interaction of beta-catenin with its ligands. CAUTION: This family does not contain all known armadillo repeats.
PF07631.14,Protein of unknown function (DUF1592),A region of similarity shared by several Rhodopirellula baltica cytochrome-like proteins that are predicted to be secreted. These proteins also match PF07627 PF07626 and PF07624.
PF01549.27,ShK domain-like,This domain of is found in several C. elegans proteins. The domain is 30 amino acids long and rich in cysteine residues. There are 6 conserved cysteine positions in the domain that form three disulphide bridges. The domain is found in the potassium channel inhibitor ShK in sea anemone.
PF16697.8,"Inner membrane component of T3SS, cytoplasmic domain","Yop-YscD-cpl is the cytoplasmic domain of Yop proteins like YscD from Proteobacteria. YscD forms part of the inner membrane component of the bacterial type III secretion injectosome apparatus [1,2]."
PF07714.20,Protein tyrosine and serine/threonine kinase,"Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. Protein kinases fall into three broad classes, characterised with respect to substrate specificity ; Serine/threonine-protein kinases, tyrosine-protein kinases, and dual specificity protein kinases (e.g. MEK - phosphorylates both Thr and Tyr on target proteins). This entry represents the catalytic domain found in a number of serine/threonine- and tyrosine-protein kinases. It does not include the catalytic domain of dual specificity kinases."
PF00498.29,FHA domain,The FHA (Forkhead-associated) domain is a phosphopeptide binding motif.
PF03917.20,"Eukaryotic glutathione synthase, ATP binding domain","Polekhina G, Board PG, Gali RR, Rossjohn J, Parker MW; , EMBO J 1999;18:3204-3213.: Molecular basis of glutathione synthetase deficiency and a rare gene permutation event. PUBMED:10369661 EPMC:10369661"
PF19239.2,GIY-YIG domain-containing protein,"This is a family of proteins that contain the GIY-YIG domain, predominantly found in Bacteria, Fungi and plants (i.e. in Protein EFFECTOR OF TRANSCRIPTION 1,2 and 3 from Arabidopsis) but also in viruses. This is a well characterised domain among the members of the GYI-YIG endonuclease family, which is involved in several cellular processes such as DNA repair and recombination and transfer of mobile genetic elements [1-2]."
PF08512.15,Histone chaperone Rttp106-like,"This family includes Rttp106, a histone chaperone involved in heterochromatin-mediated silencing. This domain belongs to the Pleckstrin homology domain superfamily."
PF10607.12,CTLH/CRA C-terminal to LisH motif domain,"RanBPM is a scaffolding protein and is important in regulating cellular function in both the immune system and the nervous system. This domain is at the C-terminus of the proteins and is the binding domain for the CRA motif (for CT11-RanBPM), which is comprised of approximately 100 amino acids at the C terminal of RanBPM. It was found to be important for the interaction of RanBPM with fragile X mental retardation protein (FMRP), but its functional significance has yet to be determined. This region contains CTLH and CRA domains annotated by SMART; however, these may be a single domain, and it is refereed to as a C-terminal to LisH motif."
PF05179.17,"RNA pol II accessory factor, Cdc73 family, C-terminal","CDC73 is an RNA polymerase II accessory factor and forms part of the Paf1 complex that has roles in post-initiation events. More specifically, crystal structure analysis shows the C-terminus to be a Ras-like domain that adopts a fold that is highly similar to GTPases of the Ras superfamily. The canonical nucleotide binding pocket is altered in CDC73, and there is no nucleotide ligand, but it contributes to histone methylation and Paf1C recruitment to active genes. Thus together with Rtf1 it combines to couple the Paf1 complex to elongating polymerase. The family has been added to the P-loop clan on the basis of the topology of the b-stranded core, and its similarity to Ras."
PF00501.31,AMP-binding enzyme,"Conti E, Franks NP, Brick P; , Structure 1996;4:287-298.: Crystal structure of firefly luciferase throws light on a superfamily of adenylate-forming enzymes. PUBMED:8805533 EPMC:8805533"
PF04780.15,Protein of unknown function (DUF629),"This family represents a region of several plant proteins of unknown function. A C2H2 zinc finger is predicted in this region in some family members, but the spacing between the cysteine residues is not conserved throughout the family."
PF14447.9,Prokaryotic RING finger family 4,"RING finger family domain found sporadically in bacteria. The finger is fused to an N-terminal alpha-helical domain, ROT/Trove-like repeats and a C-terminal TerD domain. The architecture suggests a possible role in an RNA-processing complex."
PF00085.23,Thioredoxin,"Thioredoxins are small enzymes that participate in redox reactions, via the reversible oxidation of an active centre disulfide bond. Some members with only the active site are not separated from the noise."
PF13771.9,PHD-like zinc-binding domain,"The members of this family are annotated as containing PHD domain, but the zinc-binding region here is not typical of PHD domains. The conformation here is a well-conserved cysteine-histidine rich region spanning 90 residues, where the Cys and His are arranged as HxxC(31)CxxC(6)CxxCxxxxCxxxxHxxC (21)CxxH."
PF02042.18,RWP-RK domain,This domain is named RWP-RK after a conserved motif at the C terminus of the presumed domain. The domain is found in algal minus dominance proteins as well as plant proteins involved in nitrogen-controlled development.
PF00917.29,MATH domain,This motif has been called the Meprin And TRAF-Homology (MATH) domain. This domain is hugely expanded in the nematode C. elegans.
PF17177.7,Pentacotripeptide-repeat region of PRORP,"Pentatricopeptide repeat (PPR) proteins are a large family of modular RNA-binding proteins which mediate several aspects of gene expression primarily in organelles but also in the nucleus. PPR_long is the region of Arabidopsis protein-only RNase P (PRORP) enzyme that consists of up to eleven alpha-helices. PRORPs are a class of RNA processing enzymes that catalyze maturation of the 5 end of precursor tRNAs in Eukaryotes. All PPR proteins contain tandemly repeated sequence motifs (the PPR motifs) which can vary in number. The series of helix-turn-helix motifs formed by PPR motifs throughout the protein produces a superheros with a central groove that allows the protein to bind RNA. Proteins containing PPR motifs are known to have roles in transcription, RNA processing, splicing, stability, editing, and translation. Over a decade after the discovery of PPR proteins, the super-helical structure was confirmed. The protein-only mitochondrial RNase P crystal structure from Arabidopsis thaliana (PRORP1) confirmed the role of its PPR motifs in pre-tRNA binding and suggest it has evolved independently from other RNase P proteins that rely on catalytic RNA."
PF11523.11,Protein of unknown function (DUF3223),This family of proteins has no known function.
PF13639.9,Ring finger domain,"In the field of molecular biology, the RING finger domain is a type of zinc finger which contains a Cys3HisCys4 amino acid motif which binds two zinc cations."
PF02311.22,AraC-like ligand binding domain,This family represents the arabinose-binding and dimerisation domain of the bacterial gene regulatory protein AraC. The domain is found in conjunction with the helix-turn-helix (HTH) DNA-binding motif PF00165. This domain is distantly related to the Cupin domain PF00190.
PF12146.11,"Serine aminopeptidase, S33","This domain is found in bacteria and eukaryotes and is approximately 110 amino acids in length. It is found in association with PF00561. The majority of the members in this family carry the exopeptidase active-site residues of Ser-122, Asp-239 and His-269 as in UniProtKB:Q7ZWC2."
PF02892.18,BED zinc finger,"In molecular biology the BED-type zinc finger domain is a protein domain which was named after the Drosophila proteins BEAF and DREF, is found in one or more copies in cellular regulatory factors and transposases from plants, animals and fungi."
PF03061.25,Thioesterase superfamily,"This family contains a wide variety of enzymes, principally thioesterases. This family includes 4HBT (EC 3.1.2.23) which catalyses the final step in the biosynthesis of 4-hydroxybenzoate from 4-chlorobenzoate in the soil dwelling microbe Pseudomonas CBS-3. This family includes various cytosolic long-chain acyl-CoA thioester hydrolases. Long-chain acyl-CoA hydrolases hydrolyse palmitoyl-CoA to CoA and palmitate, they also catalyse the hydrolysis of other long chain fatty acyl-CoA thioesters."
PF13832.9,PHD-zinc-finger like domain,The PHD finger (Plant Homeo Domain) was discovered in 1993 as a Cys4-His-Cys3 motif in the homeodomain protein HAT3 in Arabidopsis thaliana.
PF02213.19,GYF domain,The GYF domain is named because of the presence of Gly-Tyr-Phe residues. The GYF domain is a proline-binding domain in CD2-binding protein O95400.
PF00063.24,Myosin head (motor domain),"Rayment I, Holden HM, Whittaker M, Yohn CB, Lorenz M, Holmes KC, Milligan RA; , Science 1993;261:58-65.: Structure of the actin-myosin complex and its implications for muscle contraction. PUBMED:8316858 EPMC:8316858"
PF01504.21,Phosphatidylinositol-4-phosphate 5-Kinase,"This family contains a region from the common kinase core found in the type I phosphatidylinositol-4-phosphate 5-kinase (PIP5K) family as described in. The family consists of various type I, II and III PIP5K enzymes. PIP5K catalyses the formation of phosphoinositol-4,5-bisphosphate via the phosphorylation of phosphatidylinositol-4-phosphate a precursor in the phosphinositide signaling pathway."
PF12430.11,Abscisic acid G-protein coupled receptor,"This domain family is found in eukaryotes, and is typically between 177 and 216 amino acids in length. This family is part of the abscisic acid (ABA) G-protein coupled receptor. ABA is a stress hormone in plants."
PF16211.8,C-terminus of histone H2A,"Histone H2A is a small, highly conserved nuclear protein that, together with two molecules each of histones H2B, H3 and H4, forms the eukaryotic nucleosome core"
PF04545.19,"Sigma-70, region 4","Region 4 of sigma-70 like sigma-factors are involved in binding to the -35 promoter element via a helix-turn-helix motif. Due to the way Pfam works, the threshold has been set artificially high to prevent overlaps with other helix-turn-helix families. Therefore there are many false negatives."
PF04640.17,PLATZ transcription factor,"Plant AT-rich sequence and zinc-binding proteins (PLATZ) are zinc dependant DNA binding proteins. They bind to AT rich sequences and functions in transcriptional repression. Included in this family is the protein RGF1 INDUCIBLE TRANSCRIPTION FACTOR 1 (RITF1), a transcription factor that plays a central role in mediating RGF1 hormone peptide signalling, leading to the production of reactive oxygen species (ROS) in roots to modulate meristem size and root growth, probably via oxidative post-translational modification of the transcription factor PLETHORA."
PF03455.22,dDENN domain,"This region is always found associated with PF02141. It is predicted to form a globular domain. Although not statistically supported it has been suggested that this domain may be similar to members of the Rho/Rac/Cdc42 GEF family. This N-terminal region of DENN folds into a longin module, consisting of a central antiparallel beta-sheet layered between helix H1 and helices H2 and H3 (strands S1-S5). Rab35 interacts with dDENN via residues in helix 1 and in the loop S3-S4."
PF06584.16,DIRP,"DIRP (Domain in Rb-related Pathway) is postulated to be involved in the Rb-related pathway, which is encoded by multiple eukaryotic genomes and is present in proteins including lin-9 of Caenorhabditis elegans, aly of fruit fly and mustard weed. Studies of lin-9 and aly of fruit fly proteins containing DIRP suggest that this domain might be involved in development. Aly, lin-9, act in parallel to, or downstream of, activation of MAPK by the RTK-Ras signalling pathway."
PF00538.22,linker histone H1 and H5 family,Linker histone H1 is an essential component of chromatin structure. H1 links nucleosomes into higher order structures Histone H1 is replaced by histone H5 in some cell types.
PF00623.23,"RNA polymerase Rpb1, domain 2","RNA polymerases catalyse the DNA dependent polymerisation of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases). This domain, domain 2, contains the active site. The invariant motif -NADFDGD- binds the active site magnesium ion [1,2]."
PF00852.22,Glycosyltransferase family 10 (fucosyltransferase) C-term,"This is the C-terminal domain of a family of fucosyltransferases. This enzyme transfers fucose from GDP-Fucose to GlcNAc in an alpha1,3 linkage. This family is known as glycosyltransferase family 10. The C-terminal domain is the likely binding-region for ADP (manuscript in publication)."
PF07500.17,"Transcription factor S-II (TFIIS), central domain","Transcription elongation by RNA polymerase II is regulated by the general elongation factor TFIIS. This factor stimulates RNA polymerase II to transcribe through regions of DNA that promote the formation of stalled ternary complexes. TFIIS is composed of three structural domains, termed I, II, and III. The two C-terminal domains (II and III), this domain and PF01096 are required for transcription activity."
PF04928.20,Poly(A) polymerase central domain,"The central domain of Poly(A) polymerase shares structural similarity with the allosteric activity domain of ribonucleotide reductase R1, which comprises a four-helix bundle and a three-stranded mixed beta- sheet. Even though the two enzymes bind ATP, the ATP-recognition motifs are different."
PF08799.14,pre-mRNA processing factor 4 (PRP4) like,This small domain is found on PRP4 ribonuleoproteins. PRP4 is a U4/U6 small nuclear ribonucleoprotein that is involved in pre-mRNA processing.
PF06957.14,Coatomer (COPI) alpha subunit C-terminus,This family represents the C-terminus (approximately 500 residues) of the eukaryotic coatomer alpha subunit. Coatomer (COPI) is a large cytosolic protein complex which forms a coat around vesicles budding from the Golgi apparatus. Such coatomer-coated vesicles have been proposed to play a role in many distinct steps of intracellular transport. Note that many family members also contain the PF04053 domain.
PF04934.17,MED6 mediator sub complex component,Component of RNA polymerase II holoenzyme and mediator sub complex.
PF20297.1,MutS2 and Smr-associated SH3 domain,This is a SH3-like domain associated with the MutS-like ABC ATPase and Smr domains. It has been predicted to play a role in lesion recognition or alternatively in mediating contacts with RNA primers or misincorporated ribonucleotides during DNA repair or interacting with the ribosome at the intersection between DNA repair and ribosome rescue.
PF17292.5,POB3-like N-terminal PH domain,This domain is found at the N-terminus of POB3 and related proteins.
PF15613.9,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif","This family represents the combined alpha-helical module found in diverse eukaryotic chromatin proteins. Based on the Ioc3 structure, the N-terminus of this module is inferred to interact with nucleosomal linker DNA and the SLIDE domain of ISWI proteins [1,2]. The resulting complex forms a protein ruler that measures out the spacing between two adjacent nucleosomes. The acidic residue from the GxD signature at the N-terminus is a major determinant of the interaction between the ISWI and WHIM motifs. The N-terminal portion also contacts the inter-nucleosomal linker DNA. The module shows a great domain architectural diversity and is often combined with other modified histone peptide recognizing and DNA binding domains, some of which discriminate methylated DNA. The WSD module constitutes the inter-nucleosomal linker DNA binding site in the major groove of DNA and was first identified as WSD the D-TOX E motif of plant homeodomains homologous with the mutant transcription factor causing Williams-Beuren syndrome in association with the DDT-domain."
PF00753.30,Metallo-beta-lactamase superfamily,"Neuwald AF, Liu JS, Lipman DJ, Lawrence CE; , Nucleic Acids Res 1997;25:1665-1677.: Extracting protein alignment models from the sequence database. PUBMED:9108146 EPMC:9108146"
PF20431.1,E motif,"This entry represents the E motif found in plant pentatricopeptide repeat (PPR) proteins [1,2] which contain a DYW deaminase domain. The DYW domain is required for RNA editing, a process that deaminates specific cytidines to uridines. This motif, together with the E+ motif, precedes the DYW domain and, although their role is not clear, they are essential in the RNA editing reaction [1,2]. The E/E+ motifs may contain two degenerate PPR motifs that could be involved in RNA or protein binding."
PF01423.25,LSM domain,"The LSM domain contains Sm proteins as well as other related LSM (Like Sm) proteins. The U1, U2, U4/U6, and U5 small nuclear ribonucleoprotein particles (snRNPs) involved in pre-mRNA splicing contain seven Sm proteins (B/B, D1, D2, D3, E, F and G) in common, which assemble around the Sm site present in four of the major spliceosomal small nuclear RNAs. The U6 snRNP binds to the LSM (Like Sm) proteins. Sm proteins are also found in archaebacteria, which do not have any splicing apparatus suggesting a more general role for Sm proteins. All Sm proteins contain a common sequence motif in two segments, Sm1 and Sm2, separated by a short variable linker. This family also includes the bacterial Hfq (host factor Q) proteins. Hfq are also RNA-binding proteins, that form hexameric rings."
PF04003.15,Dip2/Utp12 Family,This domain is found at the C-terminus of proteins containing WD40 repeats. These proteins are part of the U3 ribonucleoprotein the yeast protein is called Utp12 or DIP2 Q12220.
PF01663.25,Type I phosphodiesterase / nucleotide pyrophosphatase,"This family consists of phosphodiesterases, including human plasma-cell membrane glycoprotein PC-1 / alkaline phosphodiesterase i / nucleotide pyrophosphatase (nppase). These enzymes catalyse the cleavage of phosphodiester and phosphosulfate bonds in NAD, deoxynucleotides and nucleotide sugars. Also in this family is ATX an autotaxin, tumour cell motility-stimulating protein which exhibits type I phosphodiesterases activity. The alignment encompasses the active site [3,4]. Also present with in this family is 60-kDa Ca2+-ATPase form F. odoratum."
PF01920.23,Prefoldin subunit,This family includes prefoldin subunits that are not detected by PF02996.
PF07993.15,Male sterility protein,This family represents the C-terminal region of the male sterility protein in a number of arabidopsis and drosophila. A sequence-related jojoba acyl CoA reductase is also included.
PF12854.10,PPR repeat,This family matches additional variants of the PPR repeat that were not captured by the model for PF01535. The exact function is not known.
PF07716.18,Basic region leucine zipper,"Jakoby M, Weisshaar B, Droge-Laser W, Vicente-Carbajosa J, Tiedemann J, Kroj T, Parcy F; , Trends Plant Sci 2002;7:106-111.: bZIP transcription factors in Arabidopsis. PUBMED:11906833 EPMC:11906833"
PF13857.9,Ankyrin repeats (many copies),Ankyrins are a family of proteins that mediate the attachment of integral membrane proteins to the spectrin-actin based membrane cytoskeleton.
PF10237.12,Probable N6-adenine methyltransferase,"This is a protein of approximately 200 residues which is conserved from plants to humans. It contains a highly conserved QFW motif close to the N-terminus and a DPPF motif in the centre. The DPPF motif is characteristic of N-6 adenine-specific DNA methylases, and this family is found in eukaryotes."
PF03015.22,Male sterility protein,This family represents the C-terminal region of the male sterility protein in a number of arabidopsis and drosophila. A sequence-related jojoba acyl CoA reductase is also included.
PF08659.13,KR domain,This enzymatic domain is part of bacterial polyketide synthases and catalyses the first step in the reductive modification of the beta-carbonyl centres in the growing polyketide chain. It uses NADPH to reduce the keto group to a hydroxy group.
PF12490.11,Breast carcinoma amplified sequence 3,"This domain family is found in eukaryotes, and is typically between 229 and 245 amino acids in length. The proteins in this family have been shown to be proto-oncogenes implicated in the development of breast cancer."
PF15787.8,"Neurobeachin/BDCP, DUF4704 alpha solenoid region","This domain of unknown function is found in eukaryotes on neurobeachin and BEACH domain-containing proteins (BDCPs) [1,2]. Mutations in this proteins are associated with Lipopolysaccharide-responsive and beige-like anchor (LRBA) deficiency. According to structure prediction is adopts an alpha-helical solenoid structure."
PF10545.12,Alcohol dehydrogenase transcription factor Myb/SANT-like,The myb/SANT-like domain in Adf-1 (MADF) is an approximately 80-amino-acid module that directs sequence specific DNA binding to a site consisting of multiple tri-nucleotide repeats. The MADF domain is found in one or more copies in eukaryotic and viral proteins and is often associated with the BESS domain. It is likely that the MADF domain is more closely related to the myb/SANT domain than it is to other HTH domains.
PF16719.8,SAWADEE domain,"The SAWADEE domain, found in plant homeobox proteins, has a pair of tandem tudor-like folds that bind chromatin."
PF01381.25,Helix-turn-helix,"This large family of DNA binding helix-turn helix proteins includes Cro P03036 and CI P03034. Within the protein Q5F9C2 the full protein fold incorporates a helix-turn-helix motif, but the function of this member is unlikely to be that of a DNA-binding regulator, the function of most other members, so is not necessarily characteristic of the whole family."
PF02141.24,DENN (AEX-3) domain,DENN (after differentially expressed in neoplastic vs normal cells) is a domain which occurs in several proteins involved in Rab- mediated processes or regulation of MAPK signalling pathways.
PF16131.8,Torus domain,This domain is found in pre-mRNA-splicing factor CWC2. It includes a CCCH-type zinc finger.
PF02135.19,TAZ zinc finger,"The TAZ2 domain of CBP binds to other transcription factors such as the p53 tumour suppressor protein, E1A oncoprotein, MyoD, and GATA-1. The zinc coordinating motif that is necessary for binding to target DNA sequences consists of HCCC."
PF02309.19,AUX/IAA family,"Transcription of the AUX/IAA family of genes is rapidly induced by the plant hormone auxin. Some members of this family are longer and contain an N terminal DNA binding domain, such as O64965. The function of this region is uncertain."
PF02985.25,HEAT repeat,The HEAT repeat family is related to armadillo/beta-catenin-like repeats (see PF00514).
PF13925.9,con80 domain of Katanin,"The con80 domain of katanin is the C-terminal region of the protein that binds to the N-terminal domain of katanin-p60, the catalytic ATPase. The complex associates with a specific subregion of the mitotic spindle leading to increased microtubule disassembly and targeting of p60 to the spindle poles. The assembly and function of the mitotic spindle requires the activity of a number of microtubule-binding proteins. Katanin, a heterodimeric microtubule-severing ATPase, is found localized at mitotic spindle poles. A proposed model is that katanin is targeted to spindle poles through a combination of direct microtubule binding by the p60 subunit and through interactions between the WD40 domain and an unknown protein."
PF15870.8,ElonginA binding-protein 1,"This domain family is found in eukaryotes, and is typically between 144 and 167 amino acids in length."
PF13640.9,2OG-Fe(II) oxygenase superfamily,This family contains members of the 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily.
PF12265.11,Histone-binding protein RBBP4 or subunit C of CAF1 complex,The CAF-1 complex is a conserved heterotrimeric protein complex that promotes histone H3 and H4 deposition onto newly synthesized DNA during replication or DNA repair; specifically it facilitates replication-dependent nucleosome assembly with the major histone H3 (H3.1). This domain is an alpha helix which sits just upstream of the WD40 seven-bladed beta-propeller in the human RbAp46 protein. RbAp46 folds into the beta-propeller and binds histone H4 in a groove formed between this N-terminal helix and an extended loop inserted into blade six.
PF00808.26,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,This family includes archaebacterial histones and histone like transcription factors from eukaryotes.
PF08711.14,TFIIS helical bundle-like domain,"Mediator is a large complex of up to 33 proteins that is conserved from plants to fungi to humans - the number and representation of individual subunits varying with species {1-2]. It is arranged into four different sections, a core, a head, a tail and a kinase-activity part, and the number of subunits within each of these is what varies with species. Overall, Mediator regulates the transcriptional activity of RNA polymerase II but it would appear that each of the four different sections has a slightly different function. Mediator exists in two major forms in human cells: a smaller form that interacts strongly with pol II and activates transcription, and a large form that does not interact strongly with pol II and does not directly activate transcription. Notably, the small and large Mediator complexes differ in their subunit composition: the Med26 subunit preferentially associates with the small, active complex, whereas cdk8, cyclin C, Med12 and Med13 associate with the large Mediator complex. This family includesthe C terminal region of a number of eukaryotic hypothetical proteins which are homologous to the Saccharomyces cerevisiae protein IWS1. IWS1 is known to be an Pol II transcription elongation factor and interacts with Spt6 and Spt5 [5,6]."
PF12341.11,"Minichromosome loss protein, Mcl1, middle region","Mcl1_mid, or the middle domain of minichromosome loss protein 1, is the domain that lies between a 7-bladed beta-propeller at the N-terminus, family WD40 PF00400 etc, and a Homeobox (HMG) domain, PF00505 at the C-terminus. The full length proteins with all three domains are referred to as DNA polymerase alpha accessory factor Mcl1, but the exact function of this domain is not known."
PF00155.24,Aminotransferase class I and II,"Nakai T, Okada K, Akutsu S, Miyahara I, Kawaguchi S, Kato R, Kuramitsu S, Hirotsu K; , Biochemistry 1999;38:2413-2424.: Structure of Thermus thermophilus HB8 aspartate aminotransferase and its complex with maleate. PUBMED:10029535 EPMC:10029535"
PF04124.15,Dor1-like family,"Dor1 is involved in vesicle targeting to the yeast Golgi apparatus and complexes with a number of other trafficking proteins, which include Sec34 and Sec35."
PF01532.23,Glycosyl hydrolase family 47,"Members of this family are alpha-mannosidases that catalyse the hydrolysis of the terminal 1,2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man(9)(GlcNAc)(2)."
PF04542.17,Sigma-70 region 2,"Region 2 of sigma-70 is the most conserved region of the entire protein. All members of this class of sigma-factor contain region 2. The high conservation is due to region 2 containing both the -10 promoter recognition helix and the primary core RNA polymerase binding determinant. The core binding helix, interacts with the clamp domain of the largest polymerase subunit, beta prime [1,2]. The aromatic residues of the recognition helix, found at the C-terminus of this domain are though to mediate strand separation, thereby allowing transcription initiation [1,2]."
PF03531.17,Structure-specific recognition protein (SSRP1),SSRP1 has been implicated in transcriptional initiation and elongation and in DNA replication and repair. This domain belongs to the Pleckstrin homology fold superfamily.
PF06203.17,CCT motif,"This short motif is found in a number of plant proteins. It is rich in basic amino acids and has been called a CCT motif after Co, Col and Toc1. The CCT motif is about 45 amino acids long and contains a putative nuclear localisation signal within the second half of the CCT motif. Toc1 mutants have been identified in this region."
PF02301.21,HORMA domain,"The HORMA (for Hop1p, Rev7p and MAD2) domain has been suggested to recognise chromatin states that result from DNA adducts, double stranded breaks or non-attachment to the spindle and acts as an adaptor that recruits other proteins. MAD2 is a spindle checkpoint protein which prevents progression of the cell cycle upon detection of a defect in mitotic spindle integrity."
PF13401.9,AAA domain,AAA or AAA+ is an abbreviation for ATPases Associated with various cellular Activities. It is a protein superfamily in which the member proteins share a highly conserved module of approximately 230 amino acid residues.
PF03456.21,uDENN domain,This region is always found associated with PF02141. It is predicted to form an all beta domain.
PF07883.14,Cupin domain,This family represents the conserved barrel domain of the cupin superfamily (cupa is the Latin term for a small barrel).
PF11934.11,Domain of unknown function (DUF3452),This presumed domain is functionally uncharacterised. This domain is found in bacteria and eukaryotes. This domain is typically between 124 to 150 amino acids in length. This domain is found associated with PF01858 PF01857. This domain has a single completely conserved residue W that may be functionally important.
PF13905.9,Thioredoxin-like,"Thioredoxins are small enzymes that participate in redox reactions, via the reversible oxidation of an active centre disulfide bond."
PF08149.14,BING4CT (NUC141) domain,This C terminal domain is found in the BING4 family of nucleolar WD40 repeat proteins.
PF02791.20,DDT domain,"The DDT domain is named after (DNA binding homeobox and Different Transcription factors) and is approximately 60 residues in length . Along with the WHIM motifs, it comprises an entirely alpha helical module found in diverse eukaryotic chromatin proteins. Based on the structure of Ioc3, this module is inferred to interact with nucleosomal linker DNA and the SLIDE domain of ISWI proteins. The resulting complex forms a protein ruler that measures out the spacing between two adjacent nucleosomes. In particular, the DDT domain, in combination with the WHIM1 and WHIM2 motifs form the SLIDE domain binding pocket."
PF12894.10,Anaphase-promoting complex subunit 4 WD40 domain,"Apc4 contains an N-terminal propeller-shaped WD40 domain.The N-terminus of Afi1 serves to stabilise the union between Apc4 and Apc5, both of which lie towards the bottom-front of the APC,"
PF10533.12,Plant zinc cluster domain,This zinc binding domain was identified by Babu and colleagues and found associated with the WRKY domain PF03106.
PF03357.24,Snf7,"This family of proteins are involved in protein sorting and transport from the endosome to the vacuole/lysosome in eukaryotic cells. Vacuoles/lysosomes play an important role in the degradation of both lipids and cellular proteins. In order to perform this degradative function, vacuoles/lysosomes contain numerous hydrolases which have been transported in the form of inactive precursors via the biosynthetic pathway and are proteolytically activated upon delivery to the vacuole/lysosome. The delivery of transmembrane proteins, such as activated cell surface receptors to the lumen of the vacuole/lysosome, either for degradation/downregulation, or in the case of hydrolases, for proper localisation, requires the formation of multivesicular bodies (MVBs). These late endosomal structures are formed by invaginating and budding of the limiting membrane into the lumen of the compartment. During this process, a subset of the endosomal membrane proteins is sorted into the forming vesicles. Mature MVBs fuse with the vacuole/lysosome, thereby releasing cargo containing vesicles into its hydrolytic lumen for degradation. Endosomal proteins that are not sorted into the intralumenal MVB vesicles are either recycled back to the plasma membrane or Golgi complex, or remain in the limiting membrane of the MVB and are thereby transported to the limiting membrane of the vacuole/lysosome as a consequence of fusion. Therefore, the MVB sorting pathway plays a critical role in the decision between recycling and degradation of membrane proteins. A few archaeal sequences are also present within this family."
